time;gFx;gFy;gFz;TgF
2,349000;-0,0172;0,0426;0,9919;0,993
2,364000;-0,0195;0,0418;0,9919;0,993
2,365000;-0,0211;0,0410;0,9909;0,992
2,366000;-0,0190;0,0474;0,9903;0,992
2,367000;-0,0187;0,0486;0,9893;0,991
2,374000;-0,0208;0,0486;0,9880;0,989
2,376000;-0,0161;0,0473;0,9827;0,984
2,381000;-0,0166;0,0443;0,9835;0,985
2,389000;-0,0162;0,0429;0,9904;0,991
2,391000;-0,0155;0,0443;0,9899;0,991
2,396000;-0,0159;0,0424;0,9896;0,991
2,403000;-0,0186;0,0427;0,9906;0,992
2,406000;-0,0181;0,0441;0,9920;0,993
2,411000;-0,0201;0,0425;0,9928;0,994
2,415000;-0,0186;0,0455;0,9936;0,995
2,422000;-0,0161;0,0442;0,9875;0,989
2,426000;-0,0187;0,0418;0,9926;0,994
2,430000;-0,0166;0,0422;0,9917;0,993
2,448000;-0,0181;0,0464;0,9937;0,995
2,449000;-0,0193;0,0480;0,9893;0,991
2,450000;-0,0167;0,0488;0,9875;0,989
2,453000;-0,0148;0,0503;0,9833;0,985
2,456000;-0,0148;0,0513;0,9765;0,978
2,467000;-0,0186;0,0502;0,9791;0,981
2,468000;-0,0173;0,0512;0,9777;0,979
2,471000;-0,0133;0,0497;0,9880;0,989
2,476000;-0,0140;0,0460;0,9985;1,000
2,481000;-0,0155;0,0468;0,9993;1,001
2,486000;-0,0168;0,0427;0,9995;1,001
2,491000;-0,0182;0,0402;0,9964;0,997
2,495000;-0,0159;0,0437;0,9918;0,993
2,503000;-0,0179;0,0427;0,9822;0,983
2,506000;-0,0178;0,0413;0,9774;0,978
2,511000;-0,0161;0,0421;0,9805;0,982
2,515000;-0,0184;0,0410;0,9829;0,984
2,521000;-0,0175;0,0440;0,9884;0,989
2,525000;-0,0176;0,0451;0,9928;0,994
2,530000;-0,0176;0,0421;0,9986;1,000
2,544000;-0,0177;0,0377;0,9996;1,000
2,545000;-0,0171;0,0353;0,9947;0,995
2,546000;-0,0179;0,0337;0,9907;0,991
2,549000;-0,0201;0,0319;0,9884;0,989
2,557000;-0,0183;0,0333;0,9808;0,982
2,560000;-0,0194;0,0350;0,9869;0,988
2,565000;-0,0189;0,0324;0,9924;0,993
2,571000;-0,0144;0,0310;0,9929;0,993
2,574000;-0,0198;0,0326;0,9980;0,999
2,579000;-0,0164;0,0303;0,9920;0,993
2,587000;-0,0159;0,0322;0,9869;0,988
2,590000;-0,0179;0,0315;0,9836;0,984
2,595000;-0,0181;0,0292;0,9829;0,983
2,599000;-0,0190;0,0299;0,9841;0,985
2,606000;-0,0157;0,0313;0,9843;0,985
2,610000;-0,0160;0,0324;0,9873;0,988
2,614000;-0,0182;0,0320;0,9886;0,989
2,621000;-0,0139;0,0278;0,9939;0,994
2,626000;-0,0165;0,0256;0,9950;0,995
2,629000;-0,0177;0,0298;0,9882;0,989
2,634000;-0,0171;0,0256;0,9898;0,990
2,640000;-0,0164;0,0272;0,9858;0,986
2,644000;-0,0177;0,0288;0,9820;0,983
2,649000;-0,0171;0,0272;0,9804;0,981
2,663000;-0,0176;0,0283;0,9851;0,986
2,664000;-0,0165;0,0292;0,9863;0,987
2,667000;-0,0151;0,0302;0,9873;0,988
2,682000;-0,0167;0,0314;0,9943;0,995
2,749000;-0,0175;0,0310;0,9908;0,991
2,749000;-0,0144;0,0284;0,9923;0,993
2,750000;-0,0172;0,0262;0,9899;0,990
2,750000;-0,0164;0,0270;0,9869;0,987
2,751000;-0,0164;0,0272;0,9873;0,988
2,751000;-0,0164;0,0287;0,9902;0,991
2,752000;-0,0183;0,0291;0,9919;0,992
2,752000;-0,0182;0,0306;0,9920;0,993
2,753000;-0,0167;0,0309;0,9897;0,990
2,753000;-0,0165;0,0346;0,9866;0,987
2,754000;-0,0166;0,0360;0,9848;0,986
2,754000;-0,0181;0,0363;0,9873;0,988
2,755000;-0,0188;0,0358;0,9903;0,991
2,755000;-0,0168;0,0390;0,9920;0,993
2,756000;-0,0186;0,0379;0,9891;0,990
